ID,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
20603,Bruno Mars;Anderson .Paak;Silk Sonic,An Evening With Silk Sonic,Leave The Door Open,84,242096,FALSE,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4,dance
74181,Biquini Cavadão,1985/2007 Sucessos Regravados (Vol. 2),Janaína,47,218613,FALSE,0.578,0.88,9,-5.113,1,0.0496,0.108,2.90E-06,0.114,0.719,175.983,4,mpb
39308,Hans Zimmer;Henning Lohner;Martin Tillman;Fiachra Trench,Hans Zimmer: Epic Scores,Shelter Mountain,16,250520,FALSE,0.144,0.262,9,-21.228,1,0.0641,0.876,0.755,0.144,0.0345,94.43,4,german
22237,Avatar,Schlacht,I Still Hate You,27,198826,FALSE,0.499,0.924,1,-5.758,1,0.071,4.11E-05,0.0127,0.0599,0.385,101.502,4,death-metal
52532,Hank Williams,The Complete Hank Williams,I've Been Down That Road Before,13,175733,FALSE,0.394,0.422,7,-10.383,1,0.169,0.706,0,0.116,0.805,76.34,4,honky-tonk
18637,Dry Bar Comedy,Dry Bar Comedy Presents Tyler Boeh: Wait for It,Old People's Music,22,40125,FALSE,0.472,0.66,9,-14.188,0,0.539,0.75,0,0.849,0.935,128.169,3,comedy
47469,The Who,Who's Next (Deluxe Edition),Won't Get Fooled Again - Original Album Version,67,511400,FALSE,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,4,hard-rock
22769,Eulogy,Live and Raw,Fading Sun - Live,22,274924,FALSE,0.163,0.895,7,-8.18,1,0.0791,0.000354,0.309,0.331,0.126,88.847,4,death-metal
42371,Miasmatic Necrosis,Apex Profane,Septic Expulsion of a Collapsed Cavity,14,101012,FALSE,0.35,0.946,6,-5.254,0,0.0994,1.72E-05,0.639,0.185,0.41,107.725,4,grindcore
68079,J Balvin;Ed Sheeran,Mega Hits Autumn/Fall 2022,Sigue,4,159386,TRUE,0.889,0.641,7,-4.494,1,0.0668,0.0515,2.75E-05,0.19,0.588,87.99,4,latino
35948,Limão Com Mel;Mara Pavanelly,Estúdio Limão,Um Dia,37,204026,FALSE,0.603,0.731,2,-5.611,0,0.0898,0.486,0,0.0977,0.839,159.949,4,forro
139,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Who Needs Shelter,22,192260,FALSE,0.514,0.569,6,-7.866,0,0.03,0.601,2.21E-06,0.218,0.264,142.597,4,acoustic
90025,Chuck Berry,Christmas Songs 2022,Run Rudolph Run,1,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59E-05,0.26,0.949,151.925,4,rock-n-roll
11465,Roo Panes,Pacific,There's A Place,53,368493,FALSE,0.408,0.363,2,-13.949,1,0.0284,0.528,0.0538,0.0868,0.212,131.249,4,british
49426,Firelite,Running In The Night,Running In The Night,23,182710,FALSE,0.479,0.888,8,-5.997,0,0.153,0.00614,0.00105,0.339,0.225,154.86,4,hardstyle
64504,"Grover Washington, Jr.;Bill Withers",Lean on Me: The Best of Bill Withers,Just the Two of Us (feat. Bill Withers),66,237373,FALSE,0.793,0.386,10,-13.413,0,0.0819,0.597,0.31,0.0775,0.584,95.819,4,jazz
65300,Ilaiyaraaja;Bela Shende,Neethaane En Ponvasantham (Original Motion Picture Soundtrack),Vaanam Mella,55,362893,FALSE,0.655,0.434,5,-8.585,0,0.0306,0.68,0.0134,0.175,0.509,111.94,4,k-pop
71423,Audioslave,Out of Exile,Be Yourself,72,278973,FALSE,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07E-06,0.213,0.317,116.602,4,metal
44397,Matchbox Twenty,Yourself or Someone Like You,3AM,71,225946,FALSE,0.521,0.673,8,-8.685,1,0.0284,0.00573,0,0.12,0.543,108.031,4,grunge
109440,Dj Promo,Falta,Falta,30,69362,FALSE,0.685,0.572,6,-8.112,1,0.0993,0.516,0.816,0.24,0.586,142.366,4,techno
32124,Yellow Claw,Amsterdam Twerk Music,DJ Turn It Up,64,211776,FALSE,0.829,0.695,1,-5.561,1,0.0473,0.000956,0.178,0.112,0.369,102.018,4,electronic
83280,Armin van Buuren,ASOT 1090 - A State Of Trance Episode 1090,A State Of Trance (ASOT 1090) - Contact Service For Dreamers,37,32540,FALSE,0.582,0.703,11,-7.055,0,0.247,0.071,0,0.398,0.743,132.478,3,progressive-house
71508,Firehouse,3,Here for You,55,235826,FALSE,0.565,0.651,6,-8.611,1,0.0239,0.193,0,0.062,0.504,92.028,4,metal
11007,Adele,25,When We Were Young,79,290900,FALSE,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,4,british
65533,BLACKPINK,Kill This Love,Kick It,63,191225,FALSE,0.765,0.787,1,-3.647,0,0.0445,0.0156,0,0.0736,0.381,124.949,4,k-pop
30359,Kygo;Dean Lewis,Lost Without You (with Dean Lewis),Lost Without You (with Dean Lewis),75,203609,FALSE,0.621,0.575,11,-6.243,1,0.0564,0.265,0,0.0932,0.343,117.887,4,edm
91481,The Cure,90's Music Grandi Successi,Friday I'm In Love,1,214400,FALSE,0.552,0.946,7,-4.249,0,0.0384,0.00106,0.000661,0.368,0.458,135.979,4,rock
89992,Grupo C4,Los Angeles Caidos del Cielo,Quédate,39,191333,FALSE,0.737,0.872,1,-5.439,0,0.0515,0.0494,5.41E-06,0.383,0.657,96.002,4,reggaeton
11075,The Beatles,Rubber Soul (Remastered),Norwegian Wood (This Bird Has Flown) - Remastered 2009,70,124693,FALSE,0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,3,british
68017,Feid,Perreo en Halloween,Feliz Cumpleaños Ferxxo,8,155960,FALSE,0.865,0.573,5,-5.501,1,0.0678,0.0863,0,0.305,0.563,94.999,4,latino
77238,Sorriso Maroto,É Diferente (Ao Vivo),Em Suas Mãos - Ao Vivo,48,238506,FALSE,0.521,0.758,9,-8.268,1,0.0648,0.446,0,0.61,0.421,146.817,4,pagode
91489,R.E.M.,90's Music Grandi Successi,It's The End Of The World As We Know It (And I Feel Fine),0,246933,FALSE,0.381,0.894,7,-8.638,1,0.037,0.0258,0,0.0251,0.797,205.528,4,rock
6200,Mayhem,Wolf's Lair Abyss (Bonus Tracks),I Am the Labyrinth,20,326040,FALSE,0.121,0.873,1,-5.598,1,0.0718,1.18E-06,0.914,0.449,0.0458,96.742,4,black-metal
35516,Pablo,Mega Sena,Mega Sena,41,230909,FALSE,0.66,0.47,5,-5.217,1,0.0302,0.291,0,0.223,0.636,131.953,4,forro
110613,Tritonal;Last Heroes;Lizzy Land,Safe & Sound,Safe & Sound,44,208800,FALSE,0.488,0.719,10,-6.269,1,0.0317,0.0445,0.000184,0.0983,0.142,100.012,4,trance
102393,Anson Seabra,Feeling For My Life,Walked Through Hell,66,216864,FALSE,0.508,0.404,10,-11.092,1,0.0788,0.664,0,0.104,0.129,81.713,4,songwriter
56412,Neon Trees,Picture Show,Everybody Talks,80,177280,FALSE,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4,indie-pop
30278,Becky Hill;Joel Corry,Pop Brandneu,HISTORY,0,176609,TRUE,0.674,0.86,8,-3.318,1,0.0369,0.155,3.21E-06,0.359,0.771,122.975,4,edm
62107,BURNOUT SYNDROMES,檸檬,FLY HIGH!!,66,244493,FALSE,0.475,0.961,11,-1.434,1,0.0705,0.0132,0,0.331,0.355,94.466,4,j-pop
45423,Riber Oré,Soy del Perú,Recuerdos de Julcán,24,174213,FALSE,0.58,0.357,9,-7.715,0,0.0957,0.856,0.834,0.121,0.337,133.474,4,guitar
68586,Alexis y Fido;Justin Quiles,Hora del taco sin auto,Mala Suerte,0,255173,FALSE,0.822,0.633,1,-3.897,0,0.113,0.134,0,0.177,0.689,170.016,4,latino
38637,The Strokes,Room On Fire,The End Has No End,56,185560,FALSE,0.531,0.66,1,-3.725,1,0.0335,0.000833,0.855,0.226,0.533,136.027,4,garage
532,John Frusciante,The Will To Death,The Will To Death,51,228426,FALSE,0.498,0.113,6,-16.097,0,0.0333,0.691,0.000287,0.108,0.296,168.383,4,acoustic
87933,Mariano Barba,Un Cantautor Con Alma de Triunfador,Las Mananitas,41,215413,FALSE,0.647,0.6,8,-6.078,1,0.0357,0.711,0,0.261,0.969,99.092,3,r-n-b
17913,Retroj;@1Tmt__,SKYPE,RUB YA TUMMY,14,96849,FALSE,0.896,0.524,11,-8.973,0,0.055,0.36,0.665,0.131,0.282,144.994,4,club
35764,"Santanna ""O Cantador""",Xote Pé de Serra,Mensageiro Beija-Flor,38,220235,FALSE,0.732,0.816,7,-2.381,1,0.0651,0.611,0,0.0763,0.924,160.166,4,forro
21227,Burna Boy,"Love, Damini",Common Person,60,210346,FALSE,0.703,0.674,4,-7.185,1,0.079,0.636,0.468,0.103,0.592,97.021,4,dancehall
39616,BILBAO,Parasols,Parasols,41,199897,FALSE,0.532,0.807,1,-7.076,1,0.0315,0.000823,0.0172,0.0594,0.6,97.972,4,german
40463,LUDI,Aos Pés da Cruz (Ao Vivo),Aos Pés da Cruz - Ao Vivo,41,265026,FALSE,0.631,0.33,0,-10.24,1,0.0362,0.936,0.000145,0.0711,0.243,110.082,4,gospel
21808,Bisa Kdei,Jwe,Jwe,52,274076,FALSE,0.916,0.564,5,-8.254,1,0.209,0.234,0.000289,0.312,0.709,120.053,4,dancehall
14028,Kidz Bop Kids,Diversión para los peques,Enemy,0,148009,FALSE,0.596,0.694,7,-5.05,1,0.0713,0.0389,0,0.0908,0.52,154.023,4,children
64901,Perry Como,Take It Easy With Perry Como,Killing Me Softly With Her Song,47,268160,FALSE,0.493,0.117,8,-22.655,0,0.0299,0.926,0.00522,0.109,0.243,103.712,4,jazz
99941,Catie Turner,Refresh - Pop To Cool Down,Prom Queen,0,240508,FALSE,0.487,0.184,0,-10.405,1,0.0377,0.634,0,0.15,0.274,112.365,4,singer-songwriter
16645,Niccolò Paganini;Salvatore Accardo;London Philharmonic Orchestra;Charles Dutoit,Classical Running,"Violin Concerto No. 2 in B Minor, Op. 7, MS. 48: III. Rondo à la clochette, 'La campanella'",0,542000,FALSE,0.549,0.182,11,-19.85,0,0.0474,0.841,0.0954,0.221,0.492,114.858,3,classical
51622,The Landers;Davi Singh,Kamm Koi Na,Kamm Koi Na,60,177391,FALSE,0.688,0.841,7,-3.885,1,0.277,0.242,1.02E-06,0.134,0.748,183.539,4,hip-hop
70867,Deserts Chang,神的遊戲,如何,37,242826,FALSE,0.526,0.158,11,-17.068,1,0.0284,0.918,0.00135,0.118,0.206,81.025,4,mandopop
89346,Sebastian Yatra;Luis Figueroa;Lary Over,Carrete con besties,Por Perro,0,245360,FALSE,0.684,0.762,0,-5.147,1,0.0564,0.419,0,0.0759,0.905,172.015,4,reggaeton
42220,Disfear,Live the Storm,The Furnace,16,252400,FALSE,0.33,0.99,2,-2.484,0,0.0779,1.60E-06,0.0055,0.136,0.0712,119.014,4,grindcore
45259,Tinariwen,Elwan,Sastanàqqàm,42,204600,FALSE,0.729,0.663,5,-7.778,0,0.0532,0.0295,0.0606,0.105,0.431,98.512,4,guitar
7256,Pickin' On Series,Pickin' on the Hits of 2015,Centuries,26,237230,FALSE,0.557,0.37,9,-8.214,0,0.0412,0.79,0,0.0682,0.688,180.001,4,bluegrass
60473,DJ Zinc;Dynamite MC,Drop Beats Not Bombs,Creeper,23,301899,FALSE,0.634,0.614,1,-9.197,1,0.0327,0.00281,6.71E-05,0.157,0.656,87.995,4,j-dance
97780,Matheus & Kauan,10 Anos Na Praia (Ao Vivo),Auge Da Saudade - Ao Vivo,45,195468,FALSE,0.42,0.675,2,-8.152,1,0.0955,0.708,0,0.321,0.491,73.475,4,sertanejo
37689,DJ Matt D;Menor MC;MC Kevin o Chris;Mc Marcela GC;Helamã MC;Mc negrone;MC Julio D.E.R.;Mc Lele JP;MC Leozinho ZS,Homenagem Aos Relíquias 4.0,Homenagem Aos Relíquias 4.0,44,562000,FALSE,0.786,0.472,8,-9.906,0,0.337,0.191,0,0.197,0.648,129.874,4,funk
106410,Meadows,The Only Boy Awake,The Only Boy Awake,57,163294,FALSE,0.52,0.48,5,-10.288,1,0.0303,0.61,0.0344,0.107,0.405,122.086,4,swedish
2710,The Strokes,Is This It,Last Nite,74,193506,FALSE,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,4,alt-rock
83116,Martin Garrix;Bono;The Edge,We Are The People (feat. Bono & The Edge) [Official UEFA EURO 2020 Song],We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,66,217000,FALSE,0.66,0.733,0,-4.619,1,0.0359,0.248,8.96E-06,0.17,0.304,119.933,4,progressive-house
56779,khai dreams,Now and Then,Sunkissed,70,126464,FALSE,0.766,0.354,6,-9.486,1,0.0543,0.595,0,0.381,0.792,153.902,4,indie-pop
81730,Bruno Mars;Anderson .Paak;Silk Sonic,I'm Blue - Hits of 2022,Skate,1,203122,FALSE,0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,4,pop
77396,Samba De Dom,Segredin,Segredin,46,171699,FALSE,0.751,0.683,0,-6.287,0,0.0527,0.724,6.13E-06,0.413,0.801,147.951,4,pagode
160,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",No Direction,47,234330,FALSE,0.654,0.821,7,-5.472,1,0.0264,0.00666,0.00299,0.228,0.613,111.958,4,acoustic
87145,Fidel Rueda,Se Cotiza Bien,Se Cotiza Bien,51,222404,FALSE,0.711,0.525,7,-4.589,1,0.043,0.582,0,0.0851,0.928,150.215,1,r-n-b
27386,Break;Calyx;Teebee,Resistance,Don't Look Down,19,341729,FALSE,0.497,0.937,5,-4.834,0,0.0602,7.68E-05,0.679,0.843,0.108,174.008,4,drum-and-bass
27431,DJ Ss,We Came to Entertain (Remixes),We Came to Entertain - Subzero Remix,18,271253,FALSE,0.349,0.987,5,-3.738,1,0.134,0.000193,0.934,0.417,0.42,174.977,4,drum-and-bass
37742,The O'Jays,Soul Christmas Greatest Hits,I Can Hardly Wait 'Til Christmas,0,287426,FALSE,0.662,0.487,8,-9.248,1,0.028,0.694,0,0.2,0.391,120.057,4,funk
43566,Dom Dolla;Clementine Douglas;Matt Guy,Miracle Maker (Matt Guy Remix),Miracle Maker - Matt Guy Remix,0,229428,FALSE,0.78,0.929,10,-4.649,1,0.0619,0.177,0.14,0.213,0.484,130.03,4,groove
109700,Front 242,Front By Front,Headhunter V3.0,28,285333,FALSE,0.797,0.952,10,-8.461,0,0.0468,0.00531,0.828,0.0619,0.824,122.977,4,techno
62468,YOASOBI,THE BOOK 2,三原色,57,220253,FALSE,0.666,0.923,5,-2.362,0,0.0712,0.0836,0,0.315,0.861,128.014,4,j-pop
15924,Jenevieve,Division,Résumé,61,180357,FALSE,0.82,0.447,0,-7.686,1,0.085,0.277,4.10E-05,0.0583,0.661,149.98,4,chill
84352,Sunbeam Sound Machine,Wonderer,In Your Arms,58,279349,FALSE,0.332,0.786,3,-4.112,1,0.0334,0.0295,0.941,0.418,0.444,139.988,4,psych-rock
91651,The Neighbourhood;Syd,Daddy Issues (Remix) feat. Syd,Daddy Issues (Remix) feat. Syd,75,181186,FALSE,0.623,0.533,10,-8.164,1,0.0653,0.245,0.00717,0.112,0.247,84.982,4,rock
59112,Kahtmayan,Exir,Recalling,5,297426,FALSE,0.345,0.723,11,-9.766,0,0.0417,7.65E-05,0.856,0.111,0.254,180.014,4,iranian
100633,Authority Zero,A Passage In Time (Explicit Version),Over Seasons,33,232133,FALSE,0.6,0.994,7,-2.718,1,0.161,0.21,1.65E-06,0.236,0.435,98.081,4,ska
102872,Sophie Pecora,I'm Fine,I'm Fine,41,171991,FALSE,0.792,0.588,11,-6.58,1,0.131,0.348,0,0.207,0.775,90.096,4,songwriter
43971,Lushington;Felon,"Armada - The Remixes 2017, Vol. 2 (The Future House Edition)",You Got Me Baby - Felon Remix,23,139408,FALSE,0.791,0.738,7,-6.065,1,0.0436,0.00177,0.0565,0.321,0.666,125.004,4,groove
48010,For Revenge;Danindra DIVIDE,Get Closer with For Revenge,Serana,51,244153,FALSE,0.489,0.404,2,-12.445,1,0.0332,0.101,6.78E-05,0.255,0.311,129.992,4,hardcore
82457,Beach Slang,Cheap Thrills on a Dead End Street,All Fuzzed Out,23,191508,FALSE,0.378,0.893,1,-5.051,1,0.0442,0.000144,0.229,0.384,0.251,129.433,4,power-pop
31484,Galantis,Brandneu Dance,1x1,0,139435,FALSE,0.887,0.863,2,-4.2,1,0.0697,0.0176,0.0594,0.288,0.517,120.028,4,electro
28549,Dub Ataque;Helio Bentes,Sound System Cultura de Rua,Coisa Feia,28,243500,FALSE,0.953,0.705,2,-4.564,1,0.0693,0.167,1.36E-05,0.254,0.527,128.038,4,dub
62666,Mrs. GREEN APPLE,ダンスホール,ダンスホール,77,203149,FALSE,0.736,0.695,7,-3.87,1,0.0468,0.0209,0,0.0517,0.784,109.976,4,j-pop
87533,O Teatro Mágico,Entrada para Raros (10th Anniversary Edition),O Anjo Mais Velho,44,342786,FALSE,0.628,0.816,4,-5.393,1,0.0396,0.437,0.000209,0.189,0.625,113.068,4,r-n-b
42026,Dropdead,Dropdead / Totalitar Split,A Disease Called Man,21,66066,FALSE,0.26,0.998,6,-5.446,1,0.113,1.73E-06,0.936,0.699,0.0999,119.745,4,grindcore
76258,Andrea Bocelli,Cieli Di Toscana (Remastered),E mi manchi tu,24,299146,FALSE,0.181,0.303,6,-7.265,0,0.0361,0.893,2.95E-05,0.0987,0.0568,139.205,4,opera
63737,Peyk,Halim Yok,Halim Yok,34,227653,FALSE,0.605,0.358,2,-7.504,0,0.0308,0.223,3.86E-05,0.092,0.368,120.065,4,j-rock
204,Kina Grannis,Creep,Creep,58,234135,FALSE,0.585,0.103,7,-12.682,1,0.0309,0.801,0,0.126,0.179,133.057,4,acoustic
41307,Roffe Ruff,Roffe Ruff - Gaubi,Gaubi,26,198985,FALSE,0.928,0.545,3,-11.048,0,0.196,0.617,0,0.182,0.907,97.003,4,goth
42766,Trap Them,Seizures in Barren Praise,Guignol Serene,12,119133,FALSE,0.336,0.991,4,-3.799,0,0.148,1.31E-05,0.022,0.563,0.285,113.283,3,grindcore
42535,Cripple Bastards,Misantropo a senso unico,Il sentimento non é amore,13,82653,TRUE,0.259,0.995,10,-2.851,0,0.235,7.90E-05,0.12,0.327,0.278,132.436,3,grindcore
80657,Amaal Mallik;Armaan Malik;Rajesh Roshan,Ghar Se Nikalte Hi,Ghar Se Nikalte Hi,58,282686,FALSE,0.591,0.462,5,-9.77,1,0.0281,0.64,6.44E-05,0.108,0.323,114.02,4,pop-film
95300,Billo's,Exitos De Billo's Caracas Boys,Tres Perlas,35,184807,FALSE,0.8,0.603,0,-8.264,1,0.0975,0.709,0.000187,0.0811,0.968,90.154,4,salsa
17092,Linn da Quebrada;Liniker,Pajubá,Serei A,30,259178,FALSE,0.75,0.828,6,-7.185,0,0.372,0.197,8.80E-05,0.253,0.301,170.025,4,club
44698,Filter,Short Bus,"Hey Man, Nice Shot - Remastered Version",66,314440,FALSE,0.48,0.588,2,-10.773,1,0.0339,0.00213,0.712,0.319,0.305,177.018,4,grunge
62718,Yumi Matsutoya,REINCARNATION,オールマイティー,37,264076,FALSE,0.69,0.861,9,-5.908,1,0.027,0.057,0.0254,0.0892,0.833,138.335,4,j-pop
28139,Krewella,zer0,Greenlights,53,162442,FALSE,0.548,0.835,1,-5.094,1,0.0394,0.00874,0.000653,0.238,0.385,160.022,4,dub
48915,Re-Fuzz,Why Am I Losing,Singularity,29,190200,FALSE,0.489,0.956,5,-2.264,1,0.113,0.00555,0.208,0.309,0.158,180.07,4,hardcore
25232,Tobee,Après Ski Megahits 2023,Cordula Grün,0,186013,FALSE,0.708,0.926,10,-2.93,1,0.116,0.0126,0,0.349,0.574,128.044,4,disco
64310,Nat King Cole,Christmas time but not Christmas songs 2022,L-O-V-E - Remastered 2004,0,154813,FALSE,0.521,0.278,2,-10.922,1,0.0774,0.742,2.48E-06,0.0736,0.692,76.925,4,jazz
12581,my little airport,TASTE OF TEARS (Live),西西弗斯之歌 - Live,27,120037,FALSE,0.51,0.573,2,-9.231,1,0.0601,0.0372,0.000252,0.19,0.675,132.503,4,cantopop
59310,Farzad Golpayegani,Two,Thirty,0,163000,FALSE,0.377,0.963,9,-1.076,1,0.108,0.119,0.909,0.115,0.239,137.932,1,iranian
78651,Tim Toupet,Allee Allee 2022,Allee Allee 2022,26,184490,FALSE,0.608,0.885,7,-4.611,1,0.0436,0.0163,0,0.248,0.431,138.079,4,party
80686,Jeet Gannguli;Arijit Singh,Jalebi (Original Motion Picture Soundtrack),Mera Pyar Tera Pyar,59,275371,FALSE,0.638,0.471,7,-7.025,0,0.0258,0.825,0,0.0993,0.381,99.017,4,pop-film
75577,George Skaroulis,Passions,Don't Forget Me,21,104346,FALSE,0.353,0.0923,7,-18.85,0,0.0688,0.993,0.935,0.14,0.0759,72.789,4,new-age
56934,Lyn Lapid,pov: it's 2021,In My Mind,0,162800,FALSE,0.654,0.382,2,-11.8,0,0.0545,0.737,0.00041,0.356,0.289,135.93,3,indie-pop
100746,Lasse Stefanz,Vagabond,På egna vägar,34,195106,FALSE,0.752,0.896,4,-4.47,1,0.0274,0.0094,0.000345,0.096,0.962,130.996,4,ska
67338,Don Omar,Esto me suena a Farra,Guaya Guaya,0,194013,FALSE,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,latin
18445,Chad Daniels,Busy Being Awesome,Old People Cause Global Warming,24,216053,TRUE,0.631,0.821,9,-8.624,1,0.909,0.729,0,0.792,0.502,113.599,1,comedy
109066,Deborah de Luca;Robert Miles,Children,Children - Radio Edit,61,206222,FALSE,0.553,0.948,1,-9.628,1,0.037,0.00881,0.818,0.102,0.0389,134.996,4,techno
109946,Re-Style;Bass-D,Keep Freakin',Keep Freakin' - Radio Edit,25,245714,FALSE,0.427,0.86,8,-4.781,1,0.0432,0.00949,0.00269,0.34,0.143,167.979,4,techno
38934,White Reaper,The World's Best American Band,The Stack,26,165523,FALSE,0.589,0.946,1,-2.249,1,0.0347,0.146,0,0.105,0.622,135.019,4,garage
36445,Stupeflip,Stup Religion,Argent,34,221986,FALSE,0.627,0.907,0,-3.974,1,0.0412,0.335,0.00101,0.693,0.949,143.998,4,french
12046,Leon Lai,Best Cantopop Tunes,夏日傾情,0,250453,FALSE,0.629,0.438,10,-8.394,1,0.029,0.56,0,0.127,0.219,158.027,4,cantopop
13092,Frankie Knuckles,Beyond The Mix,Party At My House,17,305333,FALSE,0.775,0.737,10,-16.082,0,0.0636,0.0147,0.0236,0.0967,0.855,118.733,4,chicago-house
8662,Santana,Abraxas,Oye Como Va,67,256933,FALSE,0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,4,blues
55484,Axonn,Jiyein Kyun (Bollywood Lo-Fi;Chill;Remix),Jiyein Kyun - Bollywood Lo-Fi;Chill;Remix,48,166153,FALSE,0.537,0.535,1,-7.336,0,0.0372,0.139,1.54E-06,0.137,0.113,129.951,4,indian
47586,Faith No More,The Real Thing (Deluxe Edition),From out of Nowhere,39,201133,FALSE,0.276,0.989,0,-5.37,0,0.077,0.00102,0.006,0.264,0.0862,161.183,4,hard-rock
88135,KAROL G;Mariah Angeliq,Fiesta portatil,EL MAKINON,0,209160,FALSE,0.689,0.705,0,-3.224,0,0.102,0.256,1.06E-06,0.108,0.456,89.109,4,reggae
52375,Railbenders,Like A Wheel,Big Diesel,14,207373,FALSE,0.695,0.85,7,-8.215,1,0.0319,0.000389,0.000808,0.0938,0.824,94.027,4,honky-tonk
